"","publication.title","publication.journal","publication.date","publication.doi","publication.tot_cites","publication.abstract","Assigned.to","Food.item_notes","Inputs","Inputs_notes","Production","Production_notes","Storage.Processing","Storage.Processing_notes","Distribution.domestic","Distribution.domestic_notes","International.trade","International.trade_notes","Retail.Markets","Retail.Markets_notes","Consumption","Consumption_notes","Price","Price_notes","Shock.type","Shock.type.notes","Shock.year","Propagation","Study.design","Study.design.type","Primary.outcomes.assessed","Study.location","Study.scale","Study.time.period","Eliminate","Elimination.justification","Notes","study.id","Food.item","Stop_at_prod","Study.region"
"263","Early heat waves over Italy and their impacts on durum wheat yields","Natural Hazards and Earth System Sciences",NA,"10.5194/nhess-15-1631-2015",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"heat waves",NA,NA,NA,NA,NA,NA,"Italy","National",NA,NA,NA,NA,179,"Maize, Wheat & Rice","Y","Europe"
"264","Quality Matters More Than Quantity: Asymmetric Temperature Effects on Crop Yield and Quality Grade","American Journal of Agricultural Economics",NA,"10.1093/ajae/aaw036",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature",NA,NA,NA,NA,NA,NA,"Japan","National",NA,NA,NA,NA,180,"Maize, Wheat & Rice","Y","Asia"
"265","Environmental Conditions Associated with Stripe Rust in Kansas Winter Wheat","Plant Disease",NA,"10.1094/PDIS-11-15-1321-RE",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"disease",NA,NA,NA,NA,NA,NA,"Kansas, USA","Sub-national",NA,NA,NA,NA,181,"Maize, Wheat & Rice","Y","North America"
"266","Weather extremes and plantation crops in the humid tropics","Mausam",NA,NA,NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"drought, flood, wind, hail, heavy precipitation, landslide",NA,NA,NA,NA,NA,NA,"Kerala, India","National",NA,NA,NA,NA,182,"Misc.","Y","Asia"
"267","Impacts of Climate Variability on Latin American Small-scale Fisheries","Ecology and Society",NA,"10.5751/ES-05971-180430",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"sea surface temperature, wind, sea level",NA,NA,NA,NA,NA,NA,"Latin America","International",NA,NA,NA,NA,183,"Seafood","Y","South America"
"268","FACTORS AFFECTING WHEAT BREAD PRICES","Economic Science for Rural Development: Production and Cooperation in Agriculture / Finance and Taxes",NA,NA,NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"weather",NA,NA,NA,NA,NA,NA,"Latvia","National",NA,NA,NA,NA,184,"Maize, Wheat & Rice","Y","Europe"
"269","Differential impacts of climate variability on yields of rainfed barley and legumes in semi-arid Mediterranean conditions","Archives of Agronomy and Soil Science",NA,"10.1080/03650340.2013.766322",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, precipitation",NA,NA,NA,NA,NA,NA,"Lebanon","National",NA,NA,NA,NA,185,"Other cereals","Y","Middle East"
"270","Multispecies Fisheries in the Lower Amazon River and Its Relationship with the Regional and Global Climate Variability","Plos One",NA,"10.1371/journal.pone.0157050",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"floods, sea surface temperatures, humidity, ENSO",NA,NA,NA,NA,NA,NA,"Lower Amazon Region","Sub-national",NA,NA,NA,NA,186,"Seafood","Y","South America"
"271","Climatic Shock Characterization and Their Effects on Livestock Production in Rural Malawi","Journal of Animal and Veterinary Advances",NA,NA,NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"drought",NA,NA,NA,NA,NA,NA,"Malawi","National",NA,NA,NA,NA,187,"Poultry, Pork & Other meat","Y","Africa"
"272","Impact of climate change on food security in Malaysia: economic and policy adjustments for rice industry","Journal of Integrative Environmental Sciences",NA,"10.1080/1943815X.2015.1112292",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, precipitation",NA,NA,NA,NA,NA,NA,"Malaysia","National",NA,NA,NA,NA,188,"Maize, Wheat & Rice","Y","Asia"
"273","Climate Variability and Socioeconomic Vulnerability of Aquaculture Farmers in Malaysia","Business and Economics Research (Icber 2011)",NA,NA,NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"water temperature, disease, flooding",NA,NA,NA,NA,NA,NA,"Malaysia","National",NA,NA,NA,NA,189,"Seafood","Y","Asia"
"274","Climate change impacts on hard red spring wheat yield and production risk: evidence from Manitoba, Canada","Canadian Journal of Plant Science",NA,"10.1139/cjps-2017-0135",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, precipitation",NA,NA,NA,NA,NA,NA,"Manitoba, Canada","Sub-national",NA,NA,NA,NA,190,"Maize, Wheat & Rice","Y","North America"
"275","Assessing indicators of agricultural drought impacts on spring wheat yield and quality on the Canadian prairies","Agricultural and Forest Meteorology",NA,"10.1016/j.agrformet.2010.01.001",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"drought",NA,NA,NA,NA,NA,NA,"Manitoba, Canada","Sub-national",NA,NA,NA,NA,191,"Maize, Wheat & Rice","Y","North America"
"276","Effect of climate change and use of improved varieties on barley and canola yield in Manitoba","Canadian Journal of Plant Science",NA,"10.4141/CJPS-2014-221",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,"Manitoba, Canada","Sub-national",NA,NA,NA,NA,192,"Other cereals","Y","North America"
"277","Cropping frequency and area response to climate variability can exceed yield response","Nature Climate Change",NA,"10.1038/NCLIMATE2934",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, precipitation",NA,NA,NA,NA,NA,NA,"Mato Grosso, Brazil","Sub-national",NA,NA,NA,NA,193,"Not specific","Y","South America"
"278","Gauging the impact of climate change on food crops production in Mauritius An econometric approach","International Journal of Climate Change Strategies and Management",NA,"10.1108/IJCCSM-12-2012-0079",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"weather",NA,NA,NA,NA,NA,NA,"Mauritius","National",NA,NA,NA,NA,194,"Fruits & Vegetables","Y","Africa"
"279","Impact of NAO on Mediterranean Fisheries","Hydrological, Socioeconomic and Ecological Impacts of the North Atlantic Oscillation in the Mediterranean Region",NA,"10.1007/978-94-007-1372-7_7",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"NAO",NA,NA,NA,NA,NA,NA,"Mediterranean","International",NA,NA,NA,NA,195,"Seafood","Y","Multi-regional"
"280","Impact of climate change in Mediterranean aquaculture","Reviews in Aquaculture",NA,"10.1111/j.1753-5131.2012.01071.x",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, eutrophication, harmful algae blooms, water stress, sea level rise, acidification, diseases",NA,NA,NA,NA,NA,NA,"Mediterranean","International",NA,NA,NA,NA,196,"Seafood","Y","Multi-regional"
"281","The impact of climate change on barley yield in the Mediterranean basin","European Journal of Agronomy",NA,"10.1016/j.eja.2019.03.002",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"heat, drought",NA,NA,NA,NA,NA,NA,"Mediterranean Basin","International",NA,NA,NA,NA,197,"Other cereals","Y","Multi-regional"
"282","The Impact of Weather Variability on Rice and Aquaculture Production in the Mekong Delta","Environmental Change and Agricultural Sustainability in the Mekong Delta",NA,"10.1007/978-94-007-0934-8_24",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"Temperature, precipitation
",NA,NA,NA,NA,NA,NA,"Mekong Delta, Vietnam","Sub-national",NA,NA,NA,NA,198,"Maize, Wheat & Rice","Y","Asia"
"283","Vulnerability of specialty crops to short-term climatic variability and adaptation strategies in the Midwestern USA","Climatic Change",NA,"10.1007/s10584-017-2066-1",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"frost, drought, excessive moisture",NA,NA,NA,NA,NA,NA,"Midwest USA","Sub-national",NA,NA,NA,NA,199,"Not specific","Y","North America"
"284","Estimation of the effects of climate variability on crop yield in the Midwest USA","Agricultural and Forest Meteorology",NA,"10.1016/j.agrformet.2015.10.001",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"drought",NA,NA,NA,NA,NA,NA,"Midwest, USA","Sub-national",NA,NA,NA,NA,200,"Not specific","Y","North America"
"285","Climate factors driving wine production in the Portuguese Minho region","Agricultural and Forest Meteorology",NA,"10.1016/j.agrformet.2013.11.003",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"weather",NA,NA,NA,NA,NA,NA,"Minho region, Portugal","Sub-national",NA,NA,NA,NA,201,"Misc.","Y","Europe"
"286","Heat in the Heartland: Crop Yield and Coverage Response to Climate Change Along the Mississippi River","Environmental & Resource Economics",NA,"10.1007/s10640-018-0271-7",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"heat",NA,NA,NA,NA,NA,NA,"Mississippi River, USA","Sub-national",NA,NA,NA,NA,202,"Maize, Wheat & Rice","Y","North America"
"287","The relationship between Sardinella aurita landings and the environmental factors in Moroccan waters (21 degrees-26 degrees N)","Cybium",NA,"10.26028/cybium/2019-431-005",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"sea surface temperature",NA,NA,NA,NA,NA,NA,"Morocco","National",NA,NA,NA,NA,203,"Seafood","Y","Africa"
"288","Climatic gradients along the windward slopes of Mount Kenya and their implication for crop risks. Part 2: crop sensitivity","International Journal of Climatology",NA,"10.1002/joc.4394",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"rainfall, temperature, wind speed, humidity, solar radiation",NA,NA,NA,NA,NA,NA,"Mount Kenya, Kenya","Sub-national",NA,NA,NA,NA,204,"Other cereals","Y","Africa"
"289","MAIZE RESPONSE TO YIELD AND YIELD TRAITS WITH DIFFERENT NITROGEN AND DENSITY UNDER CLIMATE VARIABILITY","Journal of Plant Nutrition",NA,"10.1080/01904167.2012.733050",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"climate variability",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,205,"Maize, Wheat & Rice","Y","Other"
"290","Short-term cropland responses to temperature extreme events during late winter","Biogeosciences",NA,"10.5194/bg-10-5545-2013",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"extreme temperature",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,206,"Legumes & nuts","Y","Other"
"291","Intensifying drought eliminates the expected benefits of elevated carbon dioxide for soybean","Nature Plants",NA,"10.1038/NPLANTS.2016.132",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"drought",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,207,"Legumes & nuts","Y","Other"
"292","The yield of eggplant depending on climate conditions and mulching","Folia Horticulturae",NA,"10.1515/fhort-2016-0003",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, precipitation
",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,208,"Fruits & Vegetables","Y","Other"
"293","Crop Productivity in Changing Climate","Sustainable Agriculture Reviews 27",NA,"10.1007/978-3-319-75190-0_8",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, precipitation, heat, drought",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,209,"Not specific","Y","Other"
"294","Understanding the Changes in Global Crop Yields Through Changes in Climate and Technology","Earths Future",NA,"10.1002/2017EF000690",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"ENSO, PDSI",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,210,"Not specific","Y","Other"
"295","Acute High Temperature Response in Wheat","Agronomy Journal",NA,"10.2134/agronj2017.07.0392",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"heat waves",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,211,"Maize, Wheat & Rice","Y","Other"
"296","Climate change impacts on rice (Oryza sativa) productivity and strategies for its sustainable management","Indian Journal of Agricultural Sciences",NA,NA,NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, precipitation
",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,212,"Maize, Wheat & Rice","Y","Other"
"297","The association of crop production and precipitation; a comparison of two methodologies","Arid Land Research and Management",NA,"10.1080/15324982.2018.1531323",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"precipitation
",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,213,"Maize, Wheat & Rice","Y","Other"
"298","Simulating impact of climatic variability and extreme climatic events on crop production","Mausam",NA,NA,NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"climate variability, extreme climate events
",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,214,"Not specific","Y","Other"
"299","The influence of weather extremes on the spatial correlation of corn yields","Climatic Change",NA,"10.1007/s10584-015-1538-4",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"weather extremes",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,215,"Not specific","Y","Other"
"300","Heat-related mortality in dairy cattle A case crossover study","Preventive Veterinary Medicine",NA,"10.1016/j.prevetmed.2010.09.004",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"heat",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,216,"Dairy","Y","Other"
"301","Sensitivity analyses of crop yields and changes in climate variables simulated with iGAEZ","Hydrological Processes",NA,"10.1002/hyp.9342",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"Temperature",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,217,"Maize, Wheat & Rice","Y","Other"
"302","EFFECT OF CLIMATE CHANGE FACTORS ON PROCESSES OF CROP GROWTH AND DEVELOPMENT AND YIELD OF GROUNDNUT (ARACHIS HYPOGAEA L.)","Advances in Agronomy, Vol 116",NA,"10.1016/B978-0-12-394277-7.00002-6",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"extreme weather",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,218,"Legumes & nuts","Y","Other"
"303","Modelling the impacts of weather and climate variability on crop productivity over a large area: A new process-based model development, optimization, and uncertainties analysis","Agricultural and Forest Meteorology",NA,"10.1016/j.agrformet.2008.11.004",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"climate variability",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,219,"Maize, Wheat & Rice","Y","Other"
"304","Modelling the impacts of weather and climate variability on crop productivity over a large area: A new super-ensemble-based probabilistic projection","Agricultural and Forest Meteorology",NA,"10.1016/j.agrformet.2009.02.015",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"weather, climate variability",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,220,"Maize, Wheat & Rice","Y","Other"
"305","Impact of derived global weather data on simulated crop yields","Global Change Biology",NA,"10.1111/gcb.12302",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"weather",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,221,"Maize, Wheat & Rice","Y","Other"
"306","A Neural Network approach for Disease Forecasting in Grapes using Weather Parameters","2013 Fourth International Conference on Computing, Communications and Networking Technologies (Icccnt)",NA,NA,NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"weather fluctuations",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,222,"Fruits & Vegetables","Y","Other"
"307","Extreme Weather and influences on Plant Pests: Extreme Knowledge Gap","Gesunde Pflanzen",NA,"10.1007/s10343-014-0319-8",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"pests",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,223,"Maize, Wheat & Rice","Y","Other"
"308","Weather Fronts and Postharvest Decays and Safety of Field-Grown Tomatoes","Iv International Symposium on Tomato Diseases",NA,NA,NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"weather fronts",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,224,"Fruits & Vegetables","Y","Other"
"309","Lettuce (Lactuca sativa L.) yield prediction under water stress using artificial neural network (ANN) model and vegetation indices","Zemdirbyste-Agriculture",NA,NA,NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"water stress",NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,225,"Fruits & Vegetables","Y","Other"
"310","The Effects of Changing Climate and Market Conditions on Crop Yield and Acreage Allocation in Nepal","Climate",NA,"10.3390/cli6020032",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, precipitation",NA,NA,NA,NA,NA,NA,"Nepal","National",NA,NA,NA,NA,226,"Maize, Wheat & Rice","Y","Asia"
"311","Assessing local and regional economic impacts of climatic extremes and feasibility of adaptation measures in Dutch arable farming systems","Agricultural Systems",NA,"10.1016/j.agsy.2017.06.013",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"extreme weather events",NA,NA,NA,NA,NA,NA,"Netherlands","National",NA,NA,NA,NA,227,"Not specific","Y","Europe"
"312","Measuring the effects of extreme weather events on yields","Weather and Climate Extremes",NA,"10.1016/j.wace.2016.02.003",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, precipitation",NA,NA,NA,NA,NA,NA,"Netherlands","National",NA,NA,NA,NA,228,"Maize, Wheat & Rice","Y","Europe"
"313","Effects of climate trends and variability on wheat yield variability in eastern Australia","Climate Research",NA,"10.3354/cr01307",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, precipitation, frost, heat stress",NA,NA,NA,NA,NA,NA,"New South Wales, Australia","Sub-national",NA,NA,NA,NA,229,"Maize, Wheat & Rice","Y","Oceania"
"314","Performance of agro-climate indices and wheat grain yield in a changing climate","Climate Research",NA,"10.3354/cr01400",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"frost, heat stress, precipitation",NA,NA,NA,NA,NA,NA,"New South Wales, Australia","Sub-national",NA,NA,NA,NA,230,"Maize, Wheat & Rice","Y","Oceania"
"315","Effects of high-temperature episodes on wheat yields in New South Wales, Australia","Agricultural and Forest Meteorology",NA,"10.1016/j.agrformet.2015.03.018",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"high temperature",NA,NA,NA,NA,NA,NA,"New South Wales, Australia","Sub-national",NA,NA,NA,NA,231,"Maize, Wheat & Rice","Y","Oceania"
"316","CLIMATE IMPACTS ON WHEAT PHENOLOGY AND PRODUCTION USING MUTI-SOURCE DATA IN NSW, AUSTRALIA","2016 Ieee International Geoscience and Remote Sensing Symposium (Igarss)",NA,"10.1109/IGARSS.2016.7730646",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"climate variability",NA,NA,NA,NA,NA,NA,"New South Wales, Australia","Sub-national",NA,NA,NA,NA,232,"Maize, Wheat & Rice","Y","Oceania"
"317","Between Climate Reliance and Climate Resilience: Empirical Analysis of Climate Variability and Impact on Nigerian Agricultural Production","Climate Change Adaptation in Africa: Fostering Resilience and Capacity to Adapt",NA,"10.1007/978-3-319-49520-0_2",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"precipitation variability",NA,NA,NA,NA,NA,NA,"Nigeria","National",NA,NA,NA,NA,233,"Not specific","Y","Africa"
"318","Effects of changing climate and cultivar on the phenology and yield of winter wheat in the North China Plain","International Journal of Biometeorology",NA,"10.1007/s00484-015-1002-1",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,"North China Plain","Sub-national",NA,NA,NA,NA,234,"Maize, Wheat & Rice","Y","Asia"
"319","Relationships between drought disasters and crop production during ENSO episodes across the North China Plain","Regional Environmental Change",NA,"10.1007/s10113-014-0723-8",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"drought, ENSO",NA,NA,NA,NA,NA,NA,"North China Plain","Sub-national",NA,NA,NA,NA,235,"Not specific","Y","Asia"
"320","Modeling the response of wheat and maize productivity to climate variability and irrigation in the North China Plain","18th World Imacs Congress and Modsim09 International Congress on Modelling and Simulation",NA,NA,NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"climate variability",NA,NA,NA,NA,NA,NA,"North China Plain","Sub-national",NA,NA,NA,NA,236,"Maize, Wheat & Rice","Y","Asia"
